iter	Passed	Remaining
0	0	65
1	1	63
2	1	60
3	2	55
4	2	55
5	3	55
6	4	61
7	5	60
8	5	60
9	6	62
10	7	63
11	8	61
12	8	60
13	9	57
14	9	55
15	10	54
16	10	52
17	11	51
18	11	50
19	12	48
20	12	48
21	13	47
22	13	45
23	14	44
24	14	43
25	14	42
26	15	41
27	15	40
28	16	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	35
35	19	34
36	20	34
37	20	33
38	20	32
39	21	32
40	22	31
41	22	30
42	23	30
43	24	30
44	26	32
45	28	33
46	29	32
47	29	32
48	30	31
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	33	27
55	34	26
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	48	15
76	48	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
