iter	Passed	Remaining
0	58	58456
1	60	30044
2	61	20405
3	62	15532
4	65	12938
5	65	10874
6	66	9394
7	66	8283
8	67	7406
9	67	6702
10	68	6126
11	68	5648
12	69	5241
13	69	4892
14	70	4612
15	70	4347
16	71	4113
17	71	3908
18	72	3730
19	72	3569
20	73	3420
21	73	3282
22	74	3159
23	74	3043
24	75	2935
25	75	2835
26	76	2743
27	76	2667
28	78	2622
29	78	2552
30	79	2484
31	80	2421
32	81	2382
33	82	2349
34	83	2299
35	84	2253
36	84	2206
37	85	2161
38	86	2119
39	86	2075
40	86	2033
41	87	1993
42	87	1955
43	88	1918
44	88	1883
45	89	1849
46	90	1832
47	91	1805
48	91	1775
49	91	1746
50	92	1718
51	92	1691
52	93	1665
53	93	1640
54	94	1618
55	94	1595
56	95	1572
57	95	1550
58	96	1531
59	96	1512
60	97	1496
61	97	1477
62	98	1460
63	98	1444
64	99	1431
65	100	1415
66	100	1399
67	100	1383
68	101	1367
69	101	1352
70	102	1337
71	102	1323
72	103	1312
73	104	1307
74	105	1295
75	105	1283
76	106	1272
77	106	1259
78	107	1248
79	107	1238
80	108	1229
81	108	1218
82	109	1205
83	109	1194
84	110	1184
85	110	1175
86	111	1165
87	111	1155
88	112	1146
89	112	1138
90	113	1132
91	113	1123
92	114	1114
93	114	1105
94	115	1096
95	115	1088
96	115	1079
97	116	1071
98	117	1067
99	118	1063
100	118	1056
101	119	1049
102	119	1041
103	120	1034
104	120	1026
105	120	1019
106	121	1012
107	121	1005
108	122	998
109	122	992
110	123	985
111	123	979
112	123	972
113	124	966
114	124	960
115	125	954
116	125	948
117	126	943
118	126	939
119	127	935
120	128	930
121	128	924
122	128	918
123	129	913
124	129	908
125	130	903
126	130	899
127	131	896
128	132	892
129	132	887
130	133	882
131	133	878
132	133	873
133	134	868
134	134	863
135	135	859
136	135	854
137	136	850
138	136	845
139	136	841
140	137	837
141	137	831
142	138	827
143	138	823
144	138	819
145	139	816
146	140	812
147	140	809
148	141	807
149	141	804
150	142	800
151	142	796
152	143	792
153	143	789
154	144	785
155	144	782
156	145	780
157	146	778
158	146	775
159	147	772
160	147	767
161	147	764
162	148	761
163	148	757
164	149	754
165	149	751
166	149	747
167	150	744
168	150	741
169	151	738
170	151	735
171	152	732
172	152	729
173	153	727
174	153	725
175	154	722
176	155	720
177	155	718
178	155	715
179	156	712
180	156	709
181	157	706
182	157	704
183	158	702
184	159	700
185	159	699
186	160	697
187	163	705
188	164	703
189	164	701
190	164	698
191	165	696
192	165	693
193	166	690
194	166	688
195	167	685
196	167	683
197	168	681
198	168	679
199	169	678
200	170	675
201	170	674
202	171	672
203	171	671
204	174	676
205	175	676
206	176	675
207	177	674
208	177	672
209	178	670
210	178	668
211	179	666
212	179	664
213	180	661
214	180	659
215	181	657
216	182	657
217	182	656
218	183	654
219	184	652
220	184	651
221	185	649
222	185	647
223	186	645
224	186	643
225	187	640
226	187	638
227	187	636
228	188	634
229	188	632
230	189	630
231	189	627
232	190	626
233	190	624
234	191	622
235	191	621
236	192	620
237	193	618
238	193	616
239	194	614
240	196	619
241	197	617
242	197	615
243	198	613
244	198	611
245	198	609
246	199	607
247	199	606
248	200	604
249	200	602
250	201	600
251	201	598
252	202	596
253	202	594
254	202	592
255	203	590
256	203	589
257	204	588
258	205	586
259	205	585
260	206	584
261	206	582
262	207	580
263	207	579
264	208	577
265	208	575
266	209	575
267	210	574
268	210	572
269	211	571
270	211	569
271	212	568
272	212	566
273	213	564
274	213	562
275	213	561
276	214	559
277	214	558
278	215	556
279	215	554
280	216	553
281	216	551
282	217	549
283	217	548
284	218	547
285	218	545
286	219	545
287	219	543
288	220	541
289	220	540
290	221	538
291	221	537
292	222	535
293	222	534
294	223	533
295	224	533
296	224	531
297	225	530
298	225	528
299	225	527
300	226	525
301	226	524
302	227	522
303	227	521
304	228	519
305	228	518
306	228	516
307	229	515
308	229	513
309	230	512
310	230	511
311	231	509
312	231	508
313	232	507
314	233	507
315	233	506
316	234	504
317	234	503
318	235	502
319	235	500
320	236	499
321	236	497
322	236	496
323	237	495
324	238	494
325	239	494
326	239	493
327	240	492
328	241	491
329	241	490
330	242	490
331	243	489
332	243	488
333	244	486
334	244	485
335	245	484
336	245	482
337	246	481
338	246	480
339	247	479
340	247	478
341	248	477
342	248	476
343	249	475
344	249	473
345	250	472
346	250	471
347	250	470
348	251	469
349	252	468
350	252	467
351	253	466
352	253	465
353	254	463
354	254	462
355	255	461
356	255	460
357	255	459
358	256	457
359	256	456
360	257	455
361	257	454
362	258	452
363	258	451
364	258	450
365	259	449
366	259	448
367	260	447
368	261	446
369	261	445
370	262	444
371	262	443
372	263	442
373	263	441
374	264	440
375	264	439
376	265	438
377	265	437
378	266	437
379	267	436
380	267	435
381	268	433
382	268	432
383	269	431
384	269	430
385	270	429
386	270	428
387	270	427
388	271	426
389	271	424
390	272	423
391	272	422
392	272	421
393	273	420
394	273	419
395	274	418
396	274	417
397	275	416
398	276	416
399	276	415
400	277	414
401	277	413
402	278	411
403	278	410
404	278	409
405	279	408
406	279	407
407	280	407
408	281	406
409	281	405
410	282	404
411	282	403
412	283	402
413	283	401
414	284	400
415	284	399
416	284	398
417	285	397
418	285	396
419	286	395
420	286	394
421	287	393
422	287	392
423	288	391
424	288	390
425	289	389
426	290	389
427	290	388
428	291	387
429	293	388
430	293	387
431	294	387
432	295	387
433	296	386
434	296	385
435	297	384
436	297	383
437	297	382
438	298	381
439	298	380
440	299	379
441	299	378
442	300	377
443	300	376
444	301	375
445	301	374
446	301	373
447	302	372
448	302	371
449	303	370
450	303	369
451	304	369
452	305	368
453	305	367
454	305	366
455	306	365
456	306	364
457	307	363
458	307	362
459	308	361
460	308	361
461	309	360
462	310	359
463	310	358
464	311	357
465	311	356
466	311	355
467	312	355
468	312	354
469	313	353
470	313	352
471	314	351
472	314	350
473	314	349
474	315	348
475	315	347
476	316	346
477	316	345
478	317	344
479	317	344
480	318	343
481	319	343
482	319	342
483	320	341
484	320	340
485	321	339
486	321	338
487	322	338
488	322	337
489	323	336
490	324	336
491	324	335
492	325	334
493	327	335
494	328	334
495	328	334
496	329	333
497	329	332
498	330	331
499	330	330
500	330	329
501	331	328
502	332	328
503	333	327
504	333	327
505	334	326
506	334	325
507	335	324
508	335	323
509	336	322
510	338	324
511	339	323
512	339	322
513	340	321
514	340	320
515	341	319
516	341	319
517	342	318
518	342	317
519	343	316
520	343	316
521	344	315
522	344	314
523	345	313
524	347	314
525	348	313
526	348	313
527	349	312
528	349	311
529	350	310
530	351	310
531	352	310
532	353	309
533	353	308
534	354	307
535	354	307
536	355	306
537	356	305
538	356	305
539	357	304
540	357	303
541	358	302
542	358	301
543	359	301
544	360	300
545	360	299
546	361	299
547	362	298
548	362	298
549	363	297
550	364	296
551	364	296
552	366	296
553	366	295
554	367	294
555	368	294
556	369	293
557	370	293
558	370	292
559	371	292
560	372	291
561	372	290
562	373	289
563	374	289
564	374	288
565	375	287
566	375	287
567	376	286
568	376	285
569	377	284
570	377	283
571	378	282
572	378	282
573	379	281
574	380	281
575	381	280
576	381	279
577	382	278
578	382	278
579	382	277
580	383	276
581	383	275
582	384	274
583	384	274
584	385	273
585	385	272
586	386	271
587	386	270
588	387	270
589	387	269
590	387	268
591	388	267
592	388	266
593	389	266
594	390	265
595	390	264
596	390	263
597	391	263
598	391	262
599	395	263
600	397	263
601	397	263
602	398	262
603	398	261
604	399	260
605	399	259
606	400	259
607	400	258
608	401	258
609	402	257
610	404	257
611	404	256
612	405	255
613	405	255
614	406	254
615	406	253
616	409	254
617	410	253
618	411	253
619	411	252
620	413	252
621	415	252
622	416	252
623	417	251
624	417	250
625	418	249
626	419	249
627	419	248
628	420	247
629	420	247
630	421	246
631	424	247
632	424	246
633	425	245
634	425	244
635	426	243
636	426	243
637	427	242
638	427	241
639	427	240
640	428	240
641	429	239
642	430	238
643	430	238
644	431	237
645	431	236
646	432	235
647	433	235
648	433	234
649	434	233
650	434	233
651	435	232
652	438	232
653	438	232
654	439	231
655	440	230
656	440	230
657	441	229
658	441	228
659	442	228
660	443	227
661	444	226
662	444	226
663	445	225
664	445	224
665	446	223
666	446	223
667	447	222
668	448	221
669	448	220
670	449	220
671	450	219
672	451	219
673	452	218
674	452	218
675	453	217
676	453	216
677	454	215
678	454	214
679	455	214
680	455	213
681	456	212
682	457	212
683	458	211
684	458	210
685	459	210
686	459	209
687	460	208
688	460	208
689	461	207
690	462	206
691	462	205
692	463	205
693	463	204
694	464	203
695	464	202
696	466	202
697	467	202
698	467	201
699	468	200
700	469	200
701	470	199
702	470	198
703	471	198
704	471	197
705	471	196
706	472	195
707	472	195
708	473	194
709	473	193
710	474	192
711	474	191
712	475	191
713	475	190
714	476	189
715	477	189
716	477	188
717	478	187
718	478	187
719	478	186
720	479	185
721	480	185
722	481	184
723	481	183
724	482	182
725	482	182
726	483	181
727	483	180
728	484	179
729	484	179
730	485	178
731	485	177
732	485	177
733	486	176
734	486	175
735	487	174
736	487	174
737	488	173
738	488	172
739	489	171
740	489	171
741	490	170
742	491	169
743	491	169
744	492	168
745	492	167
746	494	167
747	495	166
748	496	166
749	500	166
750	501	166
751	509	168
752	510	167
753	511	166
754	511	166
755	512	165
756	512	164
757	513	163
758	515	163
759	516	163
760	517	162
761	518	161
762	518	161
763	520	160
764	521	160
765	521	159
766	522	158
767	522	157
768	523	157
769	524	156
770	524	155
771	525	155
772	525	154
773	526	153
774	527	153
775	528	152
776	528	151
777	529	151
778	530	150
779	530	149
780	531	148
781	531	148
782	532	147
783	532	146
784	534	146
785	534	145
786	534	144
787	535	144
788	535	143
789	536	142
790	536	141
791	537	141
792	537	140
793	538	139
794	538	138
795	539	138
796	539	137
797	540	136
798	541	136
799	541	135
800	541	134
801	542	133
802	542	133
803	543	132
804	543	131
805	544	131
806	545	130
807	545	129
808	546	129
809	546	128
810	547	127
811	548	126
812	548	126
813	548	125
814	549	124
815	549	123
816	550	123
817	550	122
818	551	121
819	551	121
820	551	120
821	552	119
822	552	118
823	553	118
824	554	117
825	555	116
826	556	116
827	556	115
828	557	115
829	558	114
830	558	113
831	559	112
832	559	112
833	560	111
834	560	110
835	561	110
836	561	109
837	562	108
838	562	107
839	562	107
840	563	106
841	563	105
842	564	105
843	564	104
844	565	103
845	567	103
846	568	102
847	569	102
848	569	101
849	570	100
850	571	100
851	572	99
852	572	98
853	573	97
854	573	97
855	574	96
856	574	95
857	575	95
858	575	94
859	575	93
860	576	93
861	576	92
862	577	91
863	577	90
864	578	90
865	578	89
866	579	88
867	579	88
868	581	87
869	582	87
870	583	86
871	583	85
872	584	85
873	585	84
874	585	83
875	586	82
876	586	82
877	589	81
878	590	81
879	591	80
880	591	79
881	592	79
882	592	78
883	593	77
884	595	77
885	596	76
886	597	76
887	598	75
888	598	74
889	599	74
890	599	73
891	600	72
892	600	71
893	601	71
894	601	70
895	602	69
896	602	69
897	603	68
898	603	67
899	604	67
900	604	66
901	604	65
902	605	65
903	605	64
904	606	63
905	608	63
906	609	62
907	609	61
908	610	61
909	610	60
910	611	59
911	611	59
912	612	58
913	612	57
914	614	57
915	614	56
916	614	55
917	615	54
918	615	54
919	616	53
920	616	52
921	617	52
922	617	51
923	618	50
924	618	50
925	619	49
926	619	48
927	620	48
928	620	47
929	621	46
930	621	46
